id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22923160,PL's appartment Québec city,44528449,Pierre-Luc,,Saint-Sacrement,46.79354,-71.25622,Private room,125,2,2,2018-07-02,0.23,2,0
22927958,Endroit paisible au coeur de Québec,169709526,Mathilde Naima,,Saint-Sacrement,46.7944,-71.25257,Private room,25,2,65,2019-01-31,4.92,1,117
22942827,PENTHOUSE- OLD QUEBEC  Lofts Ste-Anne (6 people),59212451,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8124,-71.20822,Entire home/apt,309,1,93,2019-03-01,7.03,7,167
22952476,Sunny 2 Bed Flat! / Appart. 2 Lits Ensoleillé!,10653162,Caite,,Saint-Sacrement,46.79938,-71.25055,Entire home/apt,55,1,10,2018-06-22,0.84,1,0
22965588,Chambre près de l'Université Laval,118726108,Les Habitations,,Sillery,46.7727,-71.27527,Private room,31,7,0,,,1,0
22968326,Confortable appart de séjour/Cozy complete flat 4U,149430670,Martine,,Lairet,46.83043,-71.23881,Entire home/apt,66,2,35,2019-02-09,2.69,1,69
22987326,"Amour, passion, voyages au coeur de Québec",169594547,Annie-Claude,,Neufchâtel-Est/Lebourgneuf,46.84551,-71.28183,Private room,40,1,5,2018-10-23,0.98,1,0
23009822,"DPX-LIMOILOU - FACING ST-CHARLES RIVER PARK, SAUNA",12849225,Nicole,,Vieux-Limoilou,46.8222,-71.24021,Entire home/apt,78,30,1,2018-08-25,0.15,2,363
23044523,Charmant loft avec stationnement -  Vieux Québec,110465522,Kevin,,Montcalm,46.80377,-71.22892,Entire home/apt,70,1,89,2019-02-19,7.10,2,74
23054013,Appartement spacieux au centre-ville de Québec,59041207,Émilie,,Saint-Sauveur,46.80695,-71.24083,Entire home/apt,150,2,0,,,1,0
23074597,Au repos du voyageur,171313213,Martine,,Maizerets,46.83481,-71.22679,Private room,35,1,3,2019-02-17,0.24,1,54
23075743,Loft Place d'Armes,73024432,Marc-Antoine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81207,-71.20665,Private room,354,1,0,,,14,0
23076907,Confort tout en hauteur au centre-ville (parking),159895018,Josée,,Saint-Sauveur,46.81169,-71.23116,Entire home/apt,75,1,85,2019-03-03,8.15,1,99
23108013,4 1/2 confo près des principaux services/attraits,52313831,Diane,,Vieux-Limoilou,46.82602,-71.2251,Entire home/apt,80,1,10,2018-03-14,0.77,1,0
23115282,Chambre dans un 4 1/2 chalereux et tranquillw,159646583,Maude,,Duberger-Les Saules,46.82405,-71.32987,Private room,20,2,2,2018-03-01,0.16,1,0
23126966,Full apartment in Montcalm,171481008,Frank,,Montcalm,46.80195,-71.22862,Entire home/apt,70,1,52,2019-02-17,4.15,2,63
23140765,Chambre Supérieure,73024432,Marc-Antoine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81373,-71.20674,Entire home/apt,275,1,0,,,14,0
23141125,Supérieure mansardée,73024432,Marc-Antoine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81236,-71.20686,Entire home/apt,255,1,0,,,14,0
23141316,Chambre Deluxe Place d'Armes,73024432,Marc-Antoine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8123,-71.20544,Entire home/apt,293,1,0,,,14,0
23141467,Suite Junior Place d'Armes,73024432,Marc-Antoine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81412,-71.20714,Entire home/apt,313,1,0,,,14,0
23141618,Suite Junior 2 lits,73024432,Marc-Antoine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.812,-71.20574,Entire home/apt,313,1,1,2018-08-06,0.14,14,0
23144678,la chambre du temps,172011536,Patricia,,Duberger-Les Saules,46.81955,-71.30347,Private room,23,1,169,2019-03-04,13.17,2,106
23162408,Le Stairway to Heaven,24706044,Maxime,,Saint-Roch,46.81461,-71.22664,Entire home/apt,175,2,32,2019-02-15,2.55,1,345
23185080,Tranquille et magnifique,172368942,Ian,,Saint-Louis,46.76612,-71.28862,Entire home/apt,70,1,26,2019-03-05,2.39,1,169
23185478,"Un lieu où se déposer, se reposer",135979815,Marie-Chantale,,Vieux-Moulin,46.8548,-71.20664,Private room,23,1,10,2019-02-28,4.00,2,184
